```csv
stt,enum,value,description
1,AUDIO_INPUT_STATE_CHANGE,"conference.audio_input_state_changed","Indicates the conference's current audio input state changed (audio present or not)."
2,AUDIO_UNMUTE_PERMISSIONS_CHANGED,"conference.audio_unmute_permissions_changed","Audio unmute permissions changed based on number of audio senders and Jicofo configuration."
3,AUTH_STATUS_CHANGED,"conference.auth_status_changed","Authentication status for the conference changed."
4,AV_MODERATION_APPROVED,"conference.av_moderation.approved","Local participant approved to unmute under AV moderation."
5,AV_MODERATION_CHANGED,"conference.av_moderation.changed","AV moderation setting toggled on/off."
6,AV_MODERATION_PARTICIPANT_APPROVED,"conference.av_moderation.participant.approved","A participant was approved to unmute by AV moderation."
7,AV_MODERATION_PARTICIPANT_REJECTED,"conference.av_moderation.participant.rejected","A participant was rejected for unmute by AV moderation."
8,AV_MODERATION_REJECTED,"conference.av_moderation.rejected","Local participant was rejected from being allowed to unmute."
9,BEFORE_STATISTICS_DISPOSED,"conference.beforeStatisticsDisposed","Fired before the statistics module is disposed; last chance to send logs."
10,BOT_TYPE_CHANGED,"conference.bot_type_changed","Bot participant type changed."
11,BREAKOUT_ROOMS_MOVE_TO_ROOM,"conference.breakout-rooms.move-to-room","Participant requested to move to a breakout room."
12,BREAKOUT_ROOMS_UPDATED,"conference.breakout-rooms.updated","Breakout rooms metadata updated."
13,BRIDGE_BWE_STATS_RECEIVED,"conference.bridgeBweStatsReceived","Bandwidth estimation stats (BWE) received from the bridge."
14,CONFERENCE_CREATED_TIMESTAMP,"conference.createdTimestamp","UTC timestamp when the conference was created (first join)."
15,CONFERENCE_ERROR,"conference.error","A conference-level error occurred."
16,CONFERENCE_FAILED,"conference.failed","Conference failed."
17,CONFERENCE_JOIN_IN_PROGRESS,"conference.join_in_progress","Conference join process is in progress."
18,CONFERENCE_JOINED,"conference.joined","Conference successfully joined."
19,CONFERENCE_LEFT,"conference.left","Conference left."
20,CONFERENCE_UNIQUE_ID_SET,"conference.unique_id_set","Conference unique ID was set."
21,CONFERENCE_VISITOR_CODECS_CHANGED,"conference.visitor_codecs_changed","Supported visitor codec set changed."
22,CONNECTION_ESTABLISHED,"conference.connectionEstablished","Connection to conference established."
23,CONNECTION_INTERRUPTED,"conference.connectionInterrupted","Connection to conference interrupted."
24,CONNECTION_RESTORED,"conference.connectionRestored","Connection to conference restored."
25,DATA_CHANNEL_CLOSED,"conference.dataChannelClosed","Data channel to the videobridge closed."
26,DATA_CHANNEL_OPENED,"conference.dataChannelOpened","Data channel to the videobridge opened."
27,DISPLAY_NAME_CHANGED,"conference.displayNameChanged","Participant changed display name."
28,DOMINANT_SPEAKER_CHANGED,"conference.dominantSpeaker","Dominant speaker changed."
29,DTMF_SUPPORT_CHANGED,"conference.dtmfSupportChanged","DTMF support availability changed."
30,E2EE_VERIFICATION_AVAILABLE,"conference.e2ee.verification.available","End-to-end encryption verification available."
